Symbol,Name,Sector
A,Agilent Technologies,Life Sciences Tools & Services
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie,Biotechnology
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines"
ABT,Abbott Laboratories,Health Care Equipment
ACGL,Arch Capital Group,Property & Casualty Insurance
ACN,Accenture,IT Consulting & Other Services
ADBE,Adobe Inc.,Application Software
ADI,Analog Devices,Semiconductors
ADM,Archer Daniels Midland,Agricultural Products & Services
ADP,Automatic Data Processing,Human Resource & Employment Services
ADSK,Autodesk,Application Software
AEE,Ameren,Multi-Utilities
AEP,American Electric Power,Electric Utilities
AES,AES Corporation,Independent Power Producers & Energy Traders
AFL,Aflac,Life & Health Insurance
AIG,American International Group,Multi-line Insurance
AIZ,Assurant,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Insurance Brokers
AKAM,Akamai Technologies,Internet Services & Infrastructure
ALB,Albemarle Corporation,Specialty Chemicals
ALGN,Align Technology,Health Care Supplies
ALL,Allstate,Property & Casualty Insurance
ALLE,Allegion,Building Products
AMAT,Applied Materials,Semiconductor Materials & Equipment
AMCR,Amcor,Paper & Plastic Packaging Products & Materials
AMD,Advanced Micro Devices,Semiconductors
AME,Ametek,Electrical Components & Equipment
AMGN,Amgen,Biotechnology
AMP,Ameriprise Financial,Asset Management & Custody Banks
AMT,American Tower,Telecom Tower REITs
AMTM,Amentum,Diversified Support Services
AMZN,Amazon,Broadline Retail
ANET,Arista Networks,Communications Equipment
ANSS,Ansys,Application Software
AON,Aon,Insurance Brokers
AOS,A. O. Smith,Building Products
APA,APA Corporation,Oil & Gas Exploration & Production
APD,Air Products,Industrial Gases
APH,Amphenol,Electronic Components
APTV,Aptiv,Automotive Parts & Equipment
ARE,Alexandria Real Estate Equities,Office REITs
ATO,Atmos Energy,Gas Utilities
AVB,AvalonBay Communities,Multi-Family Residential REITs
AVGO,Broadcom,Semiconductors
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials
AWK,American Water Works,Water Utilities
AXON,Axon Enterprise,Aerospace & Defense
AXP,American Express,Consumer Finance
AZO,AutoZone,Automotive Retail
BA,Boeing,Aerospace & Defense
BAC,Bank of America,Diversified Banks
BALL,Ball Corporation,"Metal, Glass & Plastic Containers"
BAX,Baxter International,Health Care Equipment
BBY,Best Buy,Computer & Electronics Retail
BDX,Becton Dickinson,Health Care Equipment
BEN,Franklin Resources,Asset Management & Custody Banks
BF.B,Brown–Forman,Distillers & Vintners
BG,Bunge Global,Agricultural Products & Services
BIIB,Biogen,Biotechnology
BK,BNY Mellon,Asset Management & Custody Banks
